sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,118,32.21449328210775,-110.92656107784019,461,0,461,05:07,05:07,False
2,132,32.21400195723038,-110.92537455567489,469,0,469,05:07,05:07,False
3,90,32.18443733190458,-110.88786922806668,816,0,816,05:13,05:13,False
4,32,32.1809217829622,-110.88262391386942,861,0,861,05:14,05:14,False
5,122,32.1781909975002,-110.8939691355443,940,0,940,05:15,05:15,False
6,4,32.17542504100549,-110.9014800477856,995,600,1595,05:16,05:26,False
7,0,32.257254,-110.9723225,2407,0,2407,05:40,05:40,False
