sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,5,32.27554206124645,-110.9506909682386,207,600,807,05:03,05:13,False
2,124,32.323141848547635,-110.88380546525431,1398,0,1398,05:23,05:23,False
3,145,32.33463294638979,-110.87155480467567,1521,0,1521,05:25,05:25,False
4,153,32.33812454024431,-110.8684946731782,1555,0,1555,05:25,05:25,False
5,115,32.32420901732737,-110.87293387702489,1670,0,1670,05:27,05:27,False
6,126,32.3184291643507,-110.88679597544107,1774,0,1774,05:29,05:29,False
7,0,32.257254,-110.9723225,2532,0,2532,05:42,05:42,False
