sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,106,32.26824614813378,-111.02348023908552,357,0,357,05:05,05:05,False
2,11,32.277250065184596,-111.07061869542102,684,0,684,05:11,05:11,False
3,10,32.289029885448194,-111.07035140909262,778,0,778,05:12,05:12,False
4,160,32.28652825706064,-111.06431774388244,823,0,823,05:13,05:13,False
5,185,32.281012040711936,-111.04738453164263,945,0,945,05:15,05:15,False
6,13,32.27912938018433,-111.04112894145665,989,0,989,05:16,05:16,False
7,0,32.257254,-110.9723225,1486,0,1486,05:24,05:24,False
