sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,84,32.25780116856439,-110.96524106455442,48,0,48,05:00,05:00,False
2,61,32.26133747888868,-110.92187476268992,342,0,342,05:05,05:05,False
3,35,32.263730996658715,-110.88352815794819,602,0,602,05:10,05:10,False
4,31,32.275623063257434,-110.89328256029286,717,0,717,05:11,05:11,False
5,119,32.2775258704866,-110.89450313608772,734,0,734,05:12,05:12,False
6,68,32.26255644500517,-110.94881303124721,1120,0,1120,05:18,05:18,False
7,0,32.257254,-110.9723225,1284,0,1284,05:21,05:21,False
