sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,157,32.25596552065766,-110.97196942980271,10,0,10,05:00,05:00,False
2,24,32.1733571004506,-110.95134718900641,685,0,685,05:11,05:11,False
3,147,32.18243357596658,-110.97292256556224,848,0,848,05:14,05:14,False
4,182,32.1966331028529,-110.97231175059021,961,0,961,05:16,05:16,False
5,98,32.20861550203666,-110.97526403521036,1058,0,1058,05:17,05:17,False
6,79,32.21007555945455,-110.97202127056794,1082,0,1082,05:18,05:18,False
7,0,32.257254,-110.9723225,1459,0,1459,05:24,05:24,False
