sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,200,32.21928216620734,-110.97562776908305,304,0,304,05:05,05:05,False
2,100,32.203212971533986,-110.9803046855421,436,0,436,05:07,05:07,False
3,6,32.19739035944932,-110.97793511339984,485,600,1085,05:08,05:18,False
4,184,32.17157581222054,-110.98478089477092,1296,0,1296,05:21,05:21,False
5,154,32.18578649645393,-110.98569793114413,1409,0,1409,05:23,05:23,False
6,72,32.210930367058715,-110.98850015481673,1611,0,1611,05:26,05:26,False
7,0,32.257254,-110.9723225,1997,0,1997,05:33,05:33,False
