sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,116,32.299655666746716,-111.02803897118973,507,0,507,05:08,05:08,False
2,172,32.310250937887986,-111.04405653686324,644,0,644,05:10,05:10,False
3,97,32.32573312187781,-111.05881687847409,803,0,803,05:13,05:13,False
4,181,32.34293510503418,-111.07732439793472,989,0,989,05:16,05:16,False
5,33,32.3275616374412,-111.04945290659253,1214,0,1214,05:20,05:20,False
6,150,32.32053817552907,-111.0476133185671,1271,0,1271,05:21,05:21,False
7,0,32.257254,-110.9723225,1989,0,1989,05:33,05:33,False
