sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,77,32.236351503040865,-110.91112708438386,446,0,446,05:07,05:07,False
2,96,32.22281934041836,-110.88175793306348,672,0,672,05:11,05:11,False
3,105,32.21643947811038,-110.86760073663872,780,0,780,05:13,05:13,False
4,156,32.21114474529337,-110.86827884105065,822,0,822,05:13,05:13,False
5,159,32.215478986478715,-110.88301135916021,927,0,927,05:15,05:15,False
6,46,32.228297406425774,-110.9011136063108,1086,0,1086,05:18,05:18,False
7,0,32.257254,-110.9723225,1621,0,1621,05:27,05:27,False
