sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,2,32.302644057564706,-110.94591366034027,404,600,1004,05:06,05:16,False
2,183,32.3111656152332,-110.93480222166367,1105,0,1105,05:18,05:18,False
3,74,32.31964060738398,-110.93498457849275,1172,0,1172,05:19,05:19,False
4,174,32.33645489733907,-110.92245416702698,1331,0,1331,05:22,05:22,False
5,99,32.34311429721288,-110.91603055570643,1399,0,1399,05:23,05:23,False
6,14,32.346667964352555,-110.93679311477115,1542,0,1542,05:25,05:25,False
7,0,32.257254,-110.9723225,2297,0,2297,05:38,05:38,False
