sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,143,32.30057334777199,-110.93972434701703,411,0,411,05:06,05:06,False
2,43,32.3381966165873,-110.91569358534137,753,0,753,05:12,05:12,False
3,155,32.34310501387054,-110.89984162106393,867,0,867,05:14,05:14,False
4,44,32.344165913869936,-110.89449789000466,904,0,904,05:15,05:15,False
5,88,32.324073576543185,-110.91263697637699,1106,0,1106,05:18,05:18,False
6,199,32.30664824490348,-110.93190362005876,1296,0,1296,05:21,05:21,False
7,0,32.257254,-110.9723225,1776,0,1776,05:29,05:29,False
