sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,58,32.28208654419129,-110.99678723348833,258,0,258,05:04,05:04,False
2,161,32.31009203785371,-111.02804486819245,566,0,566,05:09,05:09,False
3,55,32.3317266726474,-111.05362769281321,810,0,810,05:13,05:13,False
4,87,32.344236265442184,-111.06252088705045,926,0,926,05:15,05:15,False
5,166,32.3195835403351,-111.02772524900823,1233,0,1233,05:20,05:20,False
6,30,32.29597781725286,-111.00627972502936,1471,0,1471,05:24,05:24,False
7,0,32.257254,-110.9723225,1856,0,1856,05:30,05:30,False
