sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,142,32.20242636058426,-110.93996782922405,490,0,490,05:08,05:08,False
2,49,32.176209230671205,-110.91918859157967,742,0,742,05:12,05:12,False
3,71,32.172818844547194,-110.91793071701382,770,0,770,05:12,05:12,False
4,42,32.169792721515954,-110.90551289672372,857,0,857,05:14,05:14,False
5,133,32.17059946351605,-110.90659664222225,866,0,866,05:14,05:14,False
6,137,32.179928666671934,-110.91384668429069,955,0,955,05:15,05:15,False
7,0,32.257254,-110.9723225,1689,0,1689,05:28,05:28,False
