sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,60,32.28288430314342,-110.98249278934202,216,0,216,05:03,05:03,False
2,39,32.34573640477076,-111.02562985396717,797,0,797,05:13,05:13,False
3,95,32.333141406847865,-111.0135346855425,926,0,926,05:15,05:15,False
4,34,32.31873439302482,-111.00188672109459,1065,0,1065,05:17,05:17,False
5,26,32.317218939181025,-110.99772859838296,1095,0,1095,05:18,05:18,False
6,48,32.284502968834445,-110.9815155990332,1378,0,1378,05:22,05:22,False
7,0,32.257254,-110.9723225,1604,0,1604,05:26,05:26,False
