sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,66,32.23517312552116,-110.96387023875225,185,0,185,05:03,05:03,False
2,3,32.230164326440935,-110.96099525430363,229,600,829,05:03,05:13,False
3,21,32.211883939705366,-110.95690884628044,977,0,977,05:16,05:16,False
4,1,32.18678482155484,-110.95051885910495,1182,600,1782,05:19,05:29,False
5,12,32.21255717141298,-110.95595218477125,1991,0,1991,05:33,05:33,False
6,109,32.230772151170875,-110.96333280946583,2145,0,2145,05:35,05:35,False
7,0,32.257254,-110.9723225,2365,0,2365,05:39,05:39,False
