sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,131,32.27046517853239,-111.04271467988757,488,0,488,05:08,05:08,False
2,36,32.27159715573967,-111.05581835944014,577,0,577,05:09,05:09,False
3,80,32.27443379375826,-111.06800566594916,662,0,662,05:11,05:11,False
4,15,32.267692185270285,-111.07441143373303,731,0,731,05:12,05:12,False
5,82,32.26627972768785,-111.07382089595822,742,0,742,05:12,05:12,False
6,152,32.26546738908948,-111.04995193171966,903,0,903,05:15,05:15,False
7,0,32.257254,-110.9723225,1432,0,1432,05:23,05:23,False
