sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,7,32.22683462042208,-111.00029719919263,308,600,908,05:05,05:15,False
2,191,32.176371173561186,-111.04302869784941,1405,0,1405,05:23,05:23,False
3,83,32.1819365568685,-111.03256580242616,1488,0,1488,05:24,05:24,False
4,135,32.1840276647995,-111.0275665941155,1525,0,1525,05:25,05:25,False
5,8,32.204395069475076,-111.0118125158267,1719,0,1719,05:28,05:28,False
6,27,32.20827329137573,-111.00666168016181,1765,0,1765,05:29,05:29,False
7,0,32.257254,-110.9723225,2220,0,2220,05:37,05:37,False
