sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,51,32.266032129407016,-110.98490853261737,110,0,110,05:01,05:01,False
2,163,32.29421267106995,-111.0294697888116,486,0,486,05:08,05:08,False
3,128,32.31782564590587,-111.06101534191022,771,0,771,05:12,05:12,False
4,148,32.31562438635967,-111.06022571892785,789,0,789,05:13,05:13,False
5,176,32.30836343919925,-111.05416695026794,860,0,860,05:14,05:14,False
6,197,32.296892921427954,-111.05027252716624,955,0,955,05:15,05:15,False
7,0,32.257254,-110.9723225,1570,0,1570,05:26,05:26,False
