sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,28,32.23490611536657,-110.92777892715235,350,0,350,05:05,05:05,False
2,167,32.2094898565175,-110.89217995697065,665,0,665,05:11,05:11,False
3,188,32.19482074580103,-110.87606943842617,825,0,825,05:13,05:13,False
4,123,32.210652776672404,-110.90104500258488,1036,0,1036,05:17,05:17,False
5,57,32.22016891555297,-110.9145121335113,1154,0,1154,05:19,05:19,False
6,108,32.22569712330497,-110.9255052664759,1240,0,1240,05:20,05:20,False
7,0,32.257254,-110.9723225,1645,0,1645,05:27,05:27,False
