sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,178,32.26514418804827,-110.9531922620591,144,0,144,05:02,05:02,False
2,139,32.27366190111884,-110.93218918811979,301,0,301,05:05,05:05,False
3,134,32.28963623793165,-110.8884800835952,623,0,623,05:10,05:10,False
4,110,32.318431313188974,-110.88143034964044,858,0,858,05:14,05:14,False
5,195,32.30424450651481,-110.89996434702357,1027,0,1027,05:17,05:17,False
6,146,32.281314776452135,-110.93042753967595,1303,0,1303,05:21,05:21,False
7,0,32.257254,-110.9723225,1645,0,1645,05:27,05:27,False
