sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,196,32.279182943289676,-111.02545136352863,400,0,400,05:06,05:06,False
2,23,32.28116956271907,-111.03986813633308,498,0,498,05:08,05:08,False
3,103,32.29304732515083,-111.07722220673914,768,0,768,05:12,05:12,False
4,19,32.295943467015704,-111.06713224982951,840,0,840,05:14,05:14,False
5,177,32.29905021901771,-111.05557353120147,922,0,922,05:15,05:15,False
6,171,32.28334696668888,-111.02428599942316,1168,0,1168,05:19,05:19,False
7,0,32.257254,-110.9723225,1577,0,1577,05:26,05:26,False
