sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,127,32.22226248355277,-110.98940173755825,303,0,303,05:05,05:05,False
2,125,32.1955172626565,-111.00517986798825,542,0,542,05:09,05:09,False
3,63,32.17627615345246,-111.01489013510977,709,0,709,05:11,05:11,False
4,78,32.18531449012846,-111.01853461039045,785,0,785,05:13,05:13,False
5,64,32.20284033498027,-111.00902413516145,939,0,939,05:15,05:15,False
6,138,32.218424116295985,-110.99750579526918,1086,0,1086,05:18,05:18,False
7,0,32.257254,-110.9723225,1440,0,1440,05:24,05:24,False
