sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,111,32.224718483093135,-111.0117683158637,373,0,373,05:06,05:06,False
2,149,32.22318593000601,-111.01570624558833,402,0,402,05:06,05:06,False
3,186,32.216741655964626,-111.02376553347584,477,0,477,05:07,05:07,False
4,67,32.194148024880135,-111.04472505723493,706,0,706,05:11,05:11,False
5,86,32.19629441119117,-111.03501566815231,773,0,773,05:12,05:12,False
6,112,32.195978644728584,-111.02904933925213,813,0,813,05:13,05:13,False
7,0,32.257254,-110.9723225,1436,0,1436,05:23,05:23,False
