sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,117,32.24534063939603,-111.00180636629875,221,0,221,05:03,05:03,False
2,180,32.23949027312153,-111.01926470593766,348,0,348,05:05,05:05,False
3,20,32.22261591831147,-111.06774242298128,703,0,703,05:11,05:11,False
4,37,32.209963576692765,-111.06435233398932,806,0,806,05:13,05:13,False
5,164,32.21468929836959,-111.04623536918156,934,0,934,05:15,05:15,False
6,175,32.227930364250575,-111.03212397850506,1076,0,1076,05:17,05:17,False
7,0,32.257254,-110.9723225,1544,0,1544,05:25,05:25,False
