sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,56,32.292695909944015,-111.00091630340073,343,0,343,05:05,05:05,False
2,22,32.29317327177927,-111.00252000593504,354,0,354,05:05,05:05,False
3,29,32.330150477081155,-111.03483584454207,722,0,722,05:12,05:12,False
4,76,32.33978192879766,-111.02670716509495,816,0,816,05:13,05:13,False
5,101,32.327372543127396,-111.02332265825915,917,0,917,05:15,05:15,False
6,62,32.318200766517904,-111.01339977055012,1016,0,1016,05:16,05:16,False
7,0,32.257254,-110.9723225,1577,0,1577,05:26,05:26,False
