sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,41,32.23139596961662,-110.94047813783301,298,0,298,05:04,05:04,False
2,120,32.219105211008944,-110.9249572512491,441,0,441,05:07,05:07,False
3,89,32.1933473212917,-110.8872860498619,769,0,769,05:12,05:12,False
4,114,32.18977767188589,-110.87853240273111,834,0,834,05:13,05:13,False
5,130,32.183013401688676,-110.8807216413957,890,0,890,05:14,05:14,False
6,144,32.1956874807472,-110.89876255688337,1048,0,1048,05:17,05:17,False
7,0,32.257254,-110.9723225,1748,0,1748,05:29,05:29,False
