sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,190,32.25753953527803,-110.94082375762132,213,0,213,05:03,05:03,False
2,158,32.26265725404524,-110.87015039009434,693,0,693,05:11,05:11,False
3,65,32.229990846667675,-110.87557357670707,957,0,957,05:15,05:15,False
4,173,32.238513809129074,-110.89348225487498,1096,0,1096,05:18,05:18,False
5,194,32.239111550014556,-110.8988485792002,1132,0,1132,05:18,05:18,False
6,92,32.23741179738581,-110.90340398213337,1165,0,1165,05:19,05:19,False
7,0,32.257254,-110.9723225,1657,0,1657,05:27,05:27,False
