sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,16,32.31652704378633,-110.91813096088714,599,0,599,05:09,05:09,False
2,25,32.340359238833024,-110.8948244127364,846,0,846,05:14,05:14,False
3,93,32.33399017970412,-110.89401343522233,897,0,897,05:14,05:14,False
4,151,32.327975636138326,-110.89761775502839,950,0,950,05:15,05:15,False
5,113,32.32428173959059,-110.89776002286243,979,0,979,05:16,05:16,False
6,45,32.31516088583414,-110.90515243608903,1067,0,1067,05:17,05:17,False
7,0,32.257254,-110.9723225,1716,0,1716,05:28,05:28,False
