sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,47,32.28172512329677,-110.97805848282945,199,0,199,05:03,05:03,False
2,75,32.311213901013225,-110.97432693668287,436,0,436,05:07,05:07,False
3,38,32.32009375789582,-110.96531104475474,529,0,529,05:08,05:08,False
4,18,32.346574888835256,-110.95773949815904,747,0,747,05:12,05:12,False
5,102,32.32292154426782,-110.95854032578895,936,0,936,05:15,05:15,False
6,104,32.312701884752926,-110.96399039533321,1025,0,1025,05:17,05:17,False
7,0,32.257254,-110.9723225,1472,0,1472,05:24,05:24,False
