sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,91,32.28277206063632,-110.96485876892508,210,0,210,05:03,05:03,False
2,40,32.28960277152878,-110.96237836732553,267,0,267,05:04,05:04,False
3,54,32.326367107071164,-110.9549158723316,565,0,565,05:09,05:09,False
4,168,32.33245465373443,-110.95173551839923,618,0,618,05:10,05:10,False
5,73,32.33577425885309,-110.94519026121061,669,0,669,05:11,05:11,False
6,81,32.294902583468705,-110.95870713454183,1008,0,1008,05:16,05:16,False
7,0,32.257254,-110.9723225,1323,0,1323,05:22,05:22,False
