sequence,stop,lat,lon,eta_sec,service_sec,depart_sec,eta_hhmm,depart_hhmm,violates_shift
1,94,32.23492568342945,-110.96009878771726,196,0,196,05:03,05:03,False
2,17,32.2315000462664,-110.95895722359792,224,0,224,05:03,05:03,False
3,69,32.226172012675214,-110.95698263809649,268,0,268,05:04,05:04,False
4,192,32.20665825625787,-110.94769313370449,436,0,436,05:07,05:07,False
5,179,32.20544663156471,-110.94675887927409,447,0,447,05:07,05:07,False
6,170,32.215428711696845,-110.94843260904767,527,0,527,05:08,05:08,False
7,0,32.257254,-110.9723225,898,0,898,05:14,05:14,False
